ChuDe,CauHoi,TraLoi
CheckIn_EarlyCheckIn,Tôi có thể nhận phòng trước 14 giờ chiều được không?,Dạ được ạ. Quý khách có thể nhận phòng sớm trước 14:00 nếu tình trạng phòng tại thời điểm đó còn trống. Quý khách vui lòng liên hệ lễ tân để được hỗ trợ kiểm tra chi tiết ạ.
CheckIn_EarlyCheckIn,Khách sạn StarStay có quy định gì về việc check-in sớm không?,"Dạ, quy định nhận phòng sớm của khách sạn là tính phí 50% giá phòng một đêm nếu phòng còn trống sẵn sàng phục vụ Quý khách ạ."
CheckIn_EarlyCheckIn,"Nếu chuyến bay của tôi đến Đà Nẵng vào buổi sáng, tôi có thể vào phòng ngay không?","Chào Anh/Chị, nếu phòng đã sẵn sàng, Quý khách có thể nhận phòng ngay. Trong trường hợp phòng chưa sẵn sàng, lễ tân sẽ hỗ trợ giữ hành lý miễn phí để Quý khách thoải mái tham quan trước khi nhận phòng ạ."
CheckIn_EarlyCheckIn,Phí nhận phòng sớm tại khách sạn được tính như thế nào?,"Dạ, phí nhận phòng sớm được tính bằng 50% giá phòng của một đêm lưu trú, áp dụng trong trường hợp khách sạn còn phòng trống ạ."
CheckIn_EarlyCheckIn,"Tôi muốn đảm bảo nhận phòng sớm từ 8 giờ sáng, tôi có cần đặt trước không?","Dạ, để đảm bảo chắc chắn có phòng vào khung giờ sớm như vậy, Quý khách nên liên hệ trước với bộ phận đặt phòng qua hotline 0236 999 8888 để chúng tôi sắp xếp và xác nhận tình trạng phòng cho Anh/Chị ạ."
CheckIn_EarlyCheckIn,Làm thế nào để tôi biết chắc chắn mình có thể nhận phòng sớm hay không?,Quý khách vui lòng gọi đến số 0236 999 8888 để lễ tân kiểm tra tình trạng phòng thực tế tại thời điểm Quý khách đến và xác nhận với Anh/Chị ạ.
CheckIn_EarlyCheckIn,Nếu tôi đến khách sạn trước giờ check-in thì tôi có thể làm gì?,"Trong lúc chờ nhận phòng, Quý khách có thể gửi hành lý tại quầy lễ tân, sử dụng các tiện ích chung như hồ bơi, hoặc nhận tư vấn từ lễ tân về các địa điểm tham quan gần khách sạn ạ."
CheckIn_EarlyCheckIn,Tôi có thể yêu cầu check-in sớm qua email được không?,Dạ được ạ. Quý khách có thể gửi yêu cầu đến email info@starstay.vn. Chúng tôi sẽ phản hồi sớm nhất về khả năng đáp ứng dựa trên tình trạng phòng trống tại thời điểm đó ạ.
CheckIn_EarlyCheckIn,"Trường hợp khách sạn hết phòng trống, tôi có được nhận phòng sớm không?","Dạ rất tiếc là trong trường hợp khách sạn đã kín phòng, chúng tôi không thể đáp ứng yêu cầu nhận phòng sớm. Quý khách có thể gửi hành lý tại lễ tân và chúng tôi sẽ thông báo ngay khi phòng sẵn sàng ạ."
CheckIn_EarlyCheckIn,Phí nhận phòng sớm có bao gồm ăn sáng không?,"Phí nhận phòng sớm 50% chỉ bao gồm quyền lợi lưu trú sớm. Nếu Quý khách cần dùng buffet sáng tại khách sạn, mức phí sẽ được tính riêng hoặc tùy theo gói phòng Anh/Chị đã đặt ạ."
CheckOut_LateCheckout,Giờ trả phòng quy định tại khách sạn là mấy giờ?,"Giờ trả phòng tiêu chuẩn tại StarStay Hotel là 12:00 trưa mỗi ngày, Quý khách vui lòng hoàn tất thủ tục trước khung giờ này ạ."
CheckOut_LateCheckout,Tôi muốn trả phòng muộn thì khách sạn có hỗ trợ không?,"Dạ có, StarStay Hotel hỗ trợ Quý khách trả phòng muộn tùy thuộc vào tình trạng phòng trống tại thời điểm đó ạ."
CheckOut_LateCheckout,Nếu tôi trả phòng vào lúc 13:00 thì có mất thêm phí không?,"Dạ không, khách sạn miễn phí trả phòng muộn đến 14:00. Quý khách hoàn toàn có thể yên tâm nghỉ ngơi thêm ạ."
CheckOut_LateCheckout,"Tôi muốn trả phòng vào lúc 16:00, khách sạn có tính phí không?","Dạ có, nếu Quý khách trả phòng sau 14:00, khách sạn sẽ áp dụng mức phí là 50% giá phòng của một đêm ạ."
CheckOut_LateCheckout,Quy định phí trả phòng muộn sau 14:00 được tính như thế nào?,"Sau 14:00, phí trả phòng muộn được tính là 50% giá phòng mỗi đêm. Quý khách vui lòng liên hệ lễ tân để biết chi tiết mức phí cho loại phòng Quý khách đang lưu trú ạ."
CheckOut_LateCheckout,Tôi có thể đăng ký trả phòng muộn với ai?,"Để đăng ký trả phòng muộn, Quý khách vui lòng liên hệ trực tiếp với quầy lễ tân hoặc gọi hotline 0236 999 8888 để nhân viên hỗ trợ kiểm tra tình trạng phòng ngay ạ."
CheckOut_LateCheckout,Làm sao để biết tôi có được phép trả phòng muộn hay không?,Việc trả phòng muộn phụ thuộc vào tình trạng phòng trống thực tế. Quý khách nên liên hệ lễ tân vào sáng ngày trả phòng để được xác nhận chính xác nhất ạ.
CheckOut_LateCheckout,Nếu tôi phải trả phòng muộn vì lý do khẩn cấp thì tôi nên làm gì?,"Trong trường hợp khẩn cấp, Quý khách hãy thông báo sớm nhất cho lễ tân qua hotline 0236 999 8888 để chúng tôi tìm phương án hỗ trợ tốt nhất cho Quý khách ạ."
CheckOut_LateCheckout,Khách sạn có cho phép gửi hành lý sau khi trả phòng không?,"Dạ có, nếu Quý khách đã hoàn tất thủ tục trả phòng nhưng chưa đến giờ khởi hành, chúng tôi luôn sẵn lòng hỗ trợ giữ hành lý miễn phí cho Quý khách tại khu vực lễ tân ạ."
CheckOut_LateCheckout,Tôi có thể trả phòng muộn sau 18:00 không?,"Nếu Quý khách cần trả phòng sau 18:00, khách sạn sẽ tính phí bằng giá một đêm phòng. Quý khách vui lòng liên hệ lễ tân để được tư vấn và hỗ trợ đặt giữ phòng ạ."
CheckOut_LateCheckout,Có sự khác biệt nào về phí trả phòng muộn giữa các loại phòng không?,"Quy định phí trả phòng muộn là 50% giá phòng của loại phòng Quý khách đang sử dụng. Vì vậy, mức phí sẽ thay đổi tùy thuộc vào hạng phòng Quý khách đặt ạ."
CheckOut_LateCheckout,"Tôi đã trả phòng muộn và thanh toán phí tại lễ tân, tôi có cần lấy hóa đơn không?","Dạ có, khi thanh toán bất kỳ chi phí phát sinh nào tại quầy lễ tân, Quý khách nên yêu cầu hóa đơn hoặc xác nhận thanh toán để đảm bảo quyền lợi ạ."
CheckIn_GuiHanhLy,Tôi đến Đà Nẵng sớm và muốn gửi hành lý tại khách sạn trước giờ check-in có được không?,Dạ được ạ. Quý khách hoàn toàn có thể gửi hành lý tại quầy lễ tân StarStay Hotel hoàn toàn miễn phí trước giờ nhận phòng chính thức là 14:00.
CheckIn_GuiHanhLy,"Sau khi check-out, tôi có thể để lại hành lý tại khách sạn để đi chơi tiếp không?","Dạ có ạ. Sau khi làm thủ tục trả phòng vào lúc 12:00, Quý khách có thể gửi lại hành lý tại khu vực lưu trữ an toàn của khách sạn để thoải mái tham quan Đà Nẵng trước khi rời đi."
CheckIn_GuiHanhLy,Tôi có cần trả phí khi gửi hành lý tại StarStay Hotel không?,Dạ không ạ. Dịch vụ lưu giữ hành lý tại StarStay Hotel là tiện ích miễn phí dành cho tất cả Quý khách lưu trú tại khách sạn.
CheckIn_GuiHanhLy,Lễ tân có hỗ trợ trông giữ hành lý cho tôi trong thời gian bao lâu?,"Lễ tân của chúng tôi làm việc 24/7, vì vậy Quý khách có thể gửi hành lý bất cứ lúc nào trong ngày nhận phòng hoặc ngày trả phòng. Nếu Quý khách cần gửi trong thời gian dài hơn, vui lòng liên hệ hotline 0236 999 8888 để được hỗ trợ cụ thể ạ."
CheckIn_GuiHanhLy,"Tôi có chuyến bay muộn, liệu khách sạn có chỗ để hành lý cho tôi sau khi trả phòng không?",Dạ có ạ. Quý khách cứ yên tâm gửi hành lý tại khu vực chuyên dụng của khách sạn sau khi trả phòng để tận hưởng nốt chuyến du lịch Đà Nẵng trước khi ra sân bay ạ.
CheckIn_GuiHanhLy,Khách sạn có đảm bảo an toàn cho hành lý tôi ký gửi không?,"Dạ, hành lý của Quý khách sẽ được lưu giữ tại khu vực có camera an ninh giám sát 24/7 và được quản lý bởi nhân viên lễ tân, đảm bảo an toàn tuyệt đối cho tài sản của Quý khách ạ."
CheckIn_GuiHanhLy,"Tôi muốn check-in sớm vào lúc 10 giờ sáng, tôi có thể gửi đồ rồi đi ăn sáng không?","Dạ được ạ. Quý khách có thể đến khách sạn gửi hành lý từ sớm, sau đó có thể trải nghiệm buffet sáng của chúng tôi hoặc đi tham quan trước khi quay lại làm thủ tục nhận phòng lúc 14:00 ạ."
CheckIn_GuiHanhLy,"Tôi có nhiều kiện hành lý cồng kềnh, khách sạn có hỗ trợ gửi không?","Dạ có ạ. StarStay Hotel luôn sẵn lòng hỗ trợ lưu giữ hành lý cho Quý khách bất kể số lượng, miễn là hành lý của Quý khách không bao gồm các vật liệu nguy hiểm hoặc hàng cấm theo quy định ạ."
CheckIn_GuiHanhLy,"Nếu tôi muốn nhận phòng sớm hơn 14:00, tôi có cần đóng thêm phí không?","Nếu phòng đã sẵn sàng, Quý khách có thể nhận phòng sớm. Trường hợp nhận phòng trước 14:00, khách sạn sẽ tính phí 50% giá phòng một đêm. Nếu phòng chưa sẵn sàng, Quý khách có thể gửi hành lý tại lễ tân hoàn toàn miễn phí ạ."
CheckIn_GuiHanhLy,Lễ tân có hỗ trợ mang hành lý lên phòng giúp tôi sau khi check-in không?,"Dạ có ạ. Sau khi hoàn tất thủ tục nhận phòng, nhân viên của chúng tôi sẽ rất hân hạnh được hỗ trợ Quý khách vận chuyển hành lý lên tận phòng nghỉ ạ."
NoiQuy_ThuCung,Khách sạn StarStay có cho phép mang theo thú cưng không?,"Dạ, rất tiếc là khách sạn StarStay hiện không cho phép mang theo thú cưng vào khuôn viên khách sạn để đảm bảo vệ sinh và trải nghiệm tốt nhất cho tất cả Quý khách ạ."
NoiQuy_ThuCung,"Tôi muốn mang theo một chú chó nhỏ đi cùng khi đặt phòng, khách sạn có chấp nhận không?","Dạ, StarStay Hotel có quy định không nhận lưu trú đối với thú cưng dưới mọi hình thức, bất kể kích thước ạ. Rất mong Quý khách thông cảm cho sự bất tiện này."
NoiQuy_ThuCung,Tôi có thể gửi thú cưng ở đâu nếu muốn lưu trú tại khách sạn?,"Dạ, hiện tại khách sạn không có dịch vụ giữ thú cưng. Quý khách vui lòng liên hệ các cơ sở dịch vụ chăm sóc thú cưng tại Đà Nẵng để gửi bé trước khi nhận phòng tại StarStay nhé ạ."
NoiQuy_ThuCung,Nếu tôi lén mang thú cưng vào phòng thì sẽ xảy ra chuyện gì?,"Dạ, theo quy định nghiêm ngặt của khách sạn, chúng tôi không cho phép thú cưng lưu trú. Nếu phát hiện vi phạm, khách sạn xin phép từ chối phục vụ và yêu cầu Quý khách rời khỏi cơ sở để đảm bảo quy định chung ạ."
NoiQuy_ThuCung,Chính sách của khách sạn về vật nuôi như thế nào?,"Dạ, StarStay Hotel có chính sách không tiếp nhận thú cưng nhằm đảm bảo không gian nghỉ dưỡng yên tĩnh, sạch sẽ và an toàn cho tất cả Quý khách lưu trú tại khách sạn ạ."
NoiQuy_ThuCung,Có trường hợp ngoại lệ nào cho phép mang theo thú cưng không?,"Dạ, rất tiếc là khách sạn không có ngoại lệ cho việc mang theo thú cưng. Nếu Quý khách cần thêm thông tin hỗ trợ, xin vui lòng gọi hotline 0236 999 8888 để được giải đáp cụ thể ạ."
NoiQuy_ThuCung,Tại sao khách sạn lại cấm thú cưng?,"Dạ, quy định này được đưa ra nhằm mục đích duy trì tiêu chuẩn vệ sinh, an toàn và tránh gây ảnh hưởng đến các Quý khách khác có thể bị dị ứng hoặc không thoải mái với thú cưng ạ."
NoiQuy_ThuCung,Tôi có thể mang thú cưng vào sảnh khách sạn không?,"Dạ, không ạ. Để tuân thủ nội quy khách sạn, Quý khách vui lòng không mang thú cưng vào bất kỳ khu vực nào trong tòa nhà StarStay Hotel ạ."
CheckOut_GuiDoSauKhiTra,"Tôi muốn gửi lại hành lý tại khách sạn sau khi đã làm thủ tục trả phòng, StarStay Hotel có hỗ trợ không?","Dạ có, StarStay Hotel hỗ trợ Quý khách gửi hành lý tại khu vực lễ tân hoàn toàn miễn phí sau khi Quý khách làm thủ tục trả phòng ạ."
CheckOut_GuiDoSauKhiTra,Khách sạn có thu phí khi tôi gửi đồ tại sảnh sau giờ trả phòng không?,"Dịch vụ lưu giữ hành lý tại sảnh của chúng tôi là hoàn toàn miễn phí, Quý khách có thể yên tâm gửi đồ tại lễ tân 24/7 ạ."
CheckOut_GuiDoSauKhiTra,"Tôi có chuyến bay muộn nên muốn gửi hành lý ở khách sạn sau 12 giờ trưa, tôi có cần báo trước không?","Quý khách không cần báo trước ạ. Khi làm thủ tục trả phòng, Quý khách chỉ cần thông báo với nhân viên lễ tân về thời gian dự kiến quay lại lấy hành lý để chúng tôi hỗ trợ ghi nhận thông tin."
CheckOut_GuiDoSauKhiTra,Tôi có thể gửi hành lý tại StarStay Hotel trong bao lâu?,"Quý khách có thể gửi hành lý tại khu vực lưu trữ của khách sạn trong ngày trả phòng. Nếu cần hỗ trợ đặc biệt, Quý khách vui lòng liên hệ hotline 0236 999 8888 để được giải đáp ạ."
CheckOut_GuiDoSauKhiTra,Có quy định gì về số lượng hay kích thước hành lý khi gửi tại khách sạn không?,"Khách sạn không giới hạn số lượng hành lý gửi. Tuy nhiên, nếu Quý khách có các vật dụng quá khổ hoặc tài sản đặc biệt giá trị, vui lòng báo cho nhân viên lễ tân để chúng tôi hỗ trợ bảo quản an toàn nhất ạ."
CheckOut_GuiDoSauKhiTra,Lễ tân có trông coi hành lý của tôi an toàn không?,"Khu vực lưu trữ hành lý của StarStay Hotel luôn có nhân viên lễ tân túc trực 24/7 và được giám sát bởi hệ thống camera an ninh nghiêm ngặt, đảm bảo an toàn tuyệt đối cho tài sản của Quý khách ạ."
CheckOut_GuiDoSauKhiTra,Tôi có thể lấy lại hành lý vào ban đêm sau khi đã trả phòng vào buổi sáng không?,"Dạ có, lễ tân của chúng tôi làm việc 24/7 nên Quý khách có thể quay lại nhận hành lý vào bất kỳ thời điểm nào trong ngày ạ."
CheckOut_GuiDoSauKhiTra,"Nếu tôi quên đồ trong hành lý đã gửi tại lễ tân, tôi có thể mở ra lấy lại không?","Dạ được ạ. Quý khách vui lòng liên hệ trực tiếp với nhân viên lễ tân, chúng tôi sẽ hỗ trợ Quý khách mở khu vực lưu trữ để lấy lại vật dụng cần thiết bất cứ lúc nào."
CheckOut_GuiDoSauKhiTra,Khách sạn có dịch vụ vận chuyển hành lý đã gửi ra sân bay giúp tôi được không?,Khách sạn có cung cấp dịch vụ đưa đón sân bay. Quý khách có thể đặt xe qua lễ tân và chúng tôi sẽ hỗ trợ mang hành lý ra xe giúp Quý khách ạ.
CheckOut_GuiDoSauKhiTra,Tôi có thể để lại hành lý tại khách sạn qua đêm sau khi đã check-out được không?,"Dịch vụ lưu giữ hành lý chỉ áp dụng trong ngày trả phòng. Nếu Quý khách cần gửi đồ qua đêm, vui lòng liên hệ hotline 0236 999 8888 để chúng tôi kiểm tra khả năng hỗ trợ ạ."
NoiQuy_HutThuoc,Khách sạn có cho phép hút thuốc trong phòng không?,"Tại StarStay Hotel, chúng tôi áp dụng chính sách không hút thuốc trong phòng nghỉ để đảm bảo không gian trong lành và an toàn cho tất cả Quý khách. Rất mong Quý khách thông cảm và tuân thủ quy định này ạ."
NoiQuy_HutThuoc,Nếu tôi hút thuốc trong phòng thì có bị phạt không?,"Dạ, nếu Quý khách hút thuốc trong phòng, khách sạn sẽ áp dụng mức phí phạt là 2.000.000 VNĐ để thực hiện các công tác vệ sinh và khử mùi chuyên sâu ạ."
NoiQuy_HutThuoc,"Tôi là người hút thuốc, tôi nên hút ở đâu tại khách sạn?","Để thuận tiện cho việc hút thuốc, Quý khách vui lòng di chuyển đến các khu vực được chỉ định ngoài trời của khách sạn. Nếu cần hỗ trợ chỉ dẫn khu vực cụ thể, Quý khách hãy liên hệ lễ tân qua hotline 0236 999 8888 ạ."
NoiQuy_HutThuoc,Tại sao StarStay Hotel lại cấm hút thuốc trong phòng?,"Chính sách không hút thuốc trong phòng được áp dụng nhằm mục đích đảm bảo tiêu chuẩn an toàn phòng cháy chữa cháy và mang lại bầu không khí trong lành, dễ chịu nhất cho tất cả Quý khách khi lưu trú tại khách sạn 4 sao của chúng tôi ạ."
NoiQuy_HutThuoc,Khách sạn có bố trí phòng riêng cho người hút thuốc không?,"Dạ, toàn bộ hệ thống phòng nghỉ tại StarStay Hotel đều là phòng không hút thuốc để đảm bảo môi trường lưu trú sạch sẽ. Quý khách vui lòng sử dụng các khu vực hút thuốc ngoài trời được khách sạn bố trí sẵn ạ."
NoiQuy_HutThuoc,Tôi có thể hút thuốc ở ban công phòng nghỉ không?,"Quy định không hút thuốc áp dụng cho toàn bộ không gian bên trong phòng nghỉ, bao gồm cả khu vực ban công để tránh ảnh hưởng đến các phòng lân cận. Rất mong Quý khách hợp tác ạ."
NoiQuy_HutThuoc,Tôi cần làm gì nếu phát hiện mùi thuốc lá trong phòng khi mới nhận phòng?,"Nếu gặp tình trạng này, Quý khách vui lòng liên hệ ngay với lễ tân qua số hotline 0236 999 8888 để chúng tôi kịp thời cử nhân viên hỗ trợ kiểm tra và xử lý đổi phòng hoặc khử mùi cho Quý khách ạ."
NoiQuy_HutThuoc,Phí phạt hút thuốc có được hoàn lại không?,"Dạ, phí phạt 2.000.000 VNĐ được áp dụng cho các chi phí xử lý vệ sinh và làm sạch không gian phòng theo quy định của khách sạn nên sẽ không được hoàn lại ạ."
NoiQuy_HutThuoc,Làm thế nào để biết khu vực nào được phép hút thuốc?,Quý khách có thể quan sát các biển báo chỉ dẫn khu vực hút thuốc hoặc liên hệ trực tiếp với nhân viên lễ tân 24/7 qua số 0236 999 8888 để được hướng dẫn vị trí gần nhất ạ.
NoiQuy_HutThuoc,Khách sạn có cung cấp thuốc lá hay bật lửa không?,"Dạ, StarStay Hotel không cung cấp thuốc lá hay bật lửa. Chúng tôi khuyến khích Quý khách lưu ý quy định không hút thuốc trong phòng nghỉ của chúng tôi ạ."
NoiQuy_KhachBenNgoai,Khách không lưu trú tại StarStay Hotel có được phép sử dụng hồ bơi không?,"Rất tiếc, StarStay Hotel hiện tại chỉ phục vụ tiện nghi hồ bơi và các dịch vụ nội khu dành riêng cho khách đang lưu trú tại khách sạn để đảm bảo không gian riêng tư và an ninh cho Quý khách ạ."
NoiQuy_KhachBenNgoai,Tôi muốn đến khách sạn để gặp bạn đang lưu trú thì có được lên phòng không?,"Vì lý do an ninh, khách đến thăm vui lòng gặp gỡ người thân tại khu vực sảnh chờ tầng 1. Nếu Quý khách muốn lên phòng, vui lòng đăng ký thông tin với lễ tân để được hỗ trợ ạ."
NoiQuy_KhachBenNgoai,Khách vãng lai có thể vào khách sạn để sử dụng dịch vụ Spa không?,Dịch vụ Spa tại StarStay Hotel mở cửa phục vụ cả khách lưu trú và khách bên ngoài. Quý khách vui lòng liên hệ hotline 0236 999 8888 để đặt lịch hẹn trước ạ.
NoiQuy_KhachBenNgoai,Người ngoài có được phép sử dụng bãi đỗ xe của khách sạn không?,Bãi đỗ xe của chúng tôi được ưu tiên dành riêng cho khách hàng đang lưu trú tại StarStay Hotel. Quý khách vui lòng thông cảm vì không gian có hạn ạ.
NoiQuy_KhachBenNgoai,Khách không ở khách sạn có được phép dùng bữa sáng buffet không?,"Dịch vụ buffet sáng tại StarStay Hotel hiện được phục vụ chủ yếu cho khách lưu trú. Nếu Quý khách có nhu cầu đặc biệt, vui lòng liên hệ lễ tân qua số 0236 999 8888 để được tư vấn ạ."
NoiQuy_KhachBenNgoai,Khách bên ngoài có được phép sử dụng phòng Gym không?,Tiện nghi Gym tại StarStay Hotel là dịch vụ đặc quyền dành riêng cho khách hàng đang lưu trú tại khách sạn ạ.
NoiQuy_KhachBenNgoai,Tôi có thể nhờ người quen gửi đồ tại lễ tân StarStay Hotel được không?,"Vì lý do an toàn và quản lý tài sản, chúng tôi không nhận giữ đồ cho người không lưu trú tại khách sạn. Quý khách vui lòng cân nhắc phương án khác ạ."
NoiQuy_KhachBenNgoai,Khách sạn có cho phép người ngoài vào sử dụng sảnh chờ để làm việc không?,"Khu vực sảnh chờ được thiết kế để phục vụ khách hàng làm thủ tục check-in, check-out và đón tiếp khách lưu trú. Quý khách vui lòng hạn chế sử dụng không gian này cho mục đích làm việc cá nhân nếu không lưu trú tại khách sạn ạ."
NoiQuy_KhachBenNgoai,Tôi muốn gửi thư từ hoặc bưu phẩm cho khách đang ở khách sạn có được không?,Quý khách có thể gửi bưu phẩm cho khách đang lưu trú tại StarStay Hotel. Vui lòng ghi rõ tên khách và số phòng để bộ phận lễ tân tiếp nhận và bàn giao kịp thời ạ.
NoiQuy_KhachBenNgoai,Khách sạn có quy định gì về trang phục đối với khách bên ngoài khi vào sảnh không?,"Để giữ gìn hình ảnh sang trọng của khách sạn 4 sao, chúng tôi khuyến khích Quý khách mặc trang phục lịch sự, gọn gàng khi ra vào khu vực sảnh ạ."
NoiQuy_TiecTung,Tôi có được tổ chức tiệc sinh nhật trong phòng khách sạn không?,"Quý khách có thể tổ chức các buổi tiệc nhỏ, ấm cúng trong phòng. Tuy nhiên, Quý khách vui lòng lưu ý không gây ồn ào ảnh hưởng đến các phòng xung quanh và tuân thủ quy định không hút thuốc của khách sạn ạ."
NoiQuy_TiecTung,Khách sạn có cho phép mang loa kéo hoặc dàn âm thanh công suất lớn vào phòng không?,"Để đảm bảo sự yên tĩnh và trải nghiệm nghỉ dưỡng cho tất cả khách lưu trú, StarStay Hotel không cho phép sử dụng loa kéo hoặc các thiết bị âm thanh công suất lớn trong khuôn viên khách sạn ạ."
NoiQuy_TiecTung,Tôi muốn tổ chức tiệc tối tại khu vực hồ bơi tầng thượng có được không?,"Khu vực hồ bơi tầng thượng là không gian chung dành cho khách lưu trú thư giãn. Rất tiếc, chúng tôi không cho phép tổ chức tiệc riêng tại khu vực này để đảm bảo không gian chung ạ."
NoiQuy_TiecTung,Khách sạn có quy định cụ thể về giờ giới nghiêm tiếng ồn vào buổi tối không?,"Dạ, để tôn trọng sự riêng tư của khách hàng, chúng tôi áp dụng quy định giữ yên lặng sau 22:00. Quý khách vui lòng giảm âm lượng các thiết bị và hạn chế gây ồn ào sau khung giờ này ạ."
NoiQuy_TiecTung,Nếu tôi muốn trang trí phòng để mừng kỷ niệm thì khách sạn có hỗ trợ không?,"StarStay Hotel rất hân hạnh được hỗ trợ Quý khách. Quý khách vui lòng liên hệ hotline 0236 999 8888 trước khi đến để chúng tôi tư vấn các quy định về trang trí, đảm bảo không làm hư hại nội thất phòng ạ."
NoiQuy_TiecTung,Tôi có được mời bạn bè không lưu trú tại khách sạn đến phòng chơi không?,"Quý khách có thể mời bạn bè đến thăm, tuy nhiên vui lòng thông báo với bộ phận lễ tân để đảm bảo an ninh và tuân thủ quy định về số lượng người tối đa trong phòng ạ."
NoiQuy_TiecTung,Khách sạn có cho phép sử dụng đồ uống có cồn trong phòng không?,"Quý khách hoàn toàn có thể sử dụng đồ uống có cồn trong phòng với mức độ vừa phải. Tuy nhiên, Quý khách vui lòng giữ gìn vệ sinh và không làm phiền đến các khách hàng khác ạ."
NoiQuy_TiecTung,Tôi có thể thuê nhân viên khách sạn phục vụ tiệc riêng trong phòng không?,"Dạ, khách sạn hiện chưa cung cấp dịch vụ phục vụ tiệc riêng tại phòng. Nếu Quý khách cần hỗ trợ đặt món ăn hoặc đồ uống, Quý khách có thể liên hệ lễ tân để được cung cấp menu ạ."
NoiQuy_TiecTung,Nếu tôi làm hư hại nội thất khi tổ chức tiệc trong phòng thì sao?,"Trong trường hợp có hư hại về tài sản hoặc nội thất do quá trình sử dụng, Quý khách sẽ chịu trách nhiệm bồi thường theo bảng giá niêm yết của khách sạn. Quý khách vui lòng liên hệ hotline 0236 999 8888 nếu cần hỗ trợ ạ."
NoiQuy_TiecTung,Khách sạn có nghiêm cấm việc hút thuốc trong các buổi tiệc tại phòng không?,"Dạ đúng vậy, StarStay Hotel là khách sạn không khói thuốc. Mọi hành vi hút thuốc trong phòng, kể cả trong các buổi tiệc, đều sẽ bị phạt 2.000.000 đồng theo quy định ạ."
NoiQuy_OnAo,Khách sạn có quy định gì về việc gây tiếng ồn trong phòng không?,"Để đảm bảo sự riêng tư và nghỉ ngơi cho tất cả Quý khách, StarStay Hotel yêu cầu Quý khách giữ trật tự sau 22:00. Mọi hành vi gây tiếng ồn lớn ảnh hưởng đến các phòng lân cận đều không được khuyến khích ạ."
NoiQuy_OnAo,Tôi có thể mở nhạc lớn hoặc tổ chức tiệc nhỏ trong phòng không?,"Dạ, Quý khách vui lòng không mở nhạc quá lớn hoặc tổ chức các buổi tiệc gây ồn ào trong phòng để tránh ảnh hưởng đến trải nghiệm của những khách hàng khác. Quý khách có thể liên hệ lễ tân qua số 0236 999 8888 nếu cần hỗ trợ không gian riêng tư hơn ạ."
